year,rank,ISIN,name,country,ci_tco2e_per_musd_revenue,vw_weight,vw_waci_contribution
2022,10,JP3381000003,NIPPON STEEL,JP,1290.3677829557635,0.002453497478193112,3.1659141014236027
2023,1,HK0006000050,POWER ASSETS HOLDINGS,HK,42627.38059812528,0.002054087742081412,87.56037996364815
2023,2,BMG2178K1009,CKI HOLDINGS,HK,8343.966027227063,0.0024123248570919803,20.12835665421086
2023,3,HK0836012952,CHINA RESOURCES POWER,HK,10581.892252095007,0.0017038708232986815,18.03017746363506
2023,4,HK0002007356,CLP HOLDINGS,HK,2973.187555757492,0.0031646054585593576,9.408965568270915
2023,5,HK2380027329,CHIN.PWR.INTDVT.,HK,7536.856600288193,0.0009108293085087991,6.864789885570473
2023,6,AU0000224040,WOODSIDE ENERGY GROUP,AU,531.7145848933534,0.0080394857761963,4.274711842246235
2023,7,AU000000BHP4,BHP GROUP,AU,130.05612490785322,0.02959865370736963,3.8494862036699575
2023,8,JP3381000003,NIPPON STEEL,JP,1039.9250659550285,0.0033718123796169855,3.506432211261175
2023,9,SG1V61937297,SINGAPORE AIRLINES,SG,1263.2430647324663,0.0022834848828030053,2.884596441622325
2023,10,HK0293001514,CATHAY PACIFIC AIRWAYS,HK,1778.5036808386792,0.0010792349107882546,1.9194232613265143
2024,1,HK0006000050,POWER ASSETS HOLDINGS,HK,37866.39227673032,0.002038906915564059,77.20604908048693
2024,2,BMG2178K1009,CKI HOLDINGS,HK,8553.871280226222,0.0024470505917561355,20.93175577808339
2024,3,HK0836012952,CHINA RESOURCES POWER,HK,11078.606685204179,0.0015546509899230167,17.223366850120428
2024,4,HK0002007356,CLP HOLDINGS,HK,3413.9907142682205,0.003356861914950003,11.460295406719947
2024,5,HK2380027329,CHIN.PWR.INTDVT.,HK,7974.041232946708,0.0007412836357290138,5.911026276611804
2024,6,AU0000224040,WOODSIDE ENERGY GROUP,AU,718.2232936722069,0.0064905871668745835,4.661690892859221
2024,7,JP3381000003,NIPPON STEEL,JP,1096.6442121826688,0.003676799669056099,4.032141076425523
2024,8,AU000000BHP4,BHP GROUP,AU,150.87613865715858,0.025421399207544486,3.835482551696463
2024,9,SG1V61937297,SINGAPORE AIRLINES,SG,1091.8199251781807,0.002451594606648611,2.676699839998318
2024,10,JP3551200003,ELEC.POWER DEV.,JP,4697.1581611139,0.0005206953053797775,2.4457882031183162
