NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
METCASH,AU000000MTS0,2921251,2630856.0,2840648.0,2780129.0,3682771.0,5253177.0,5613879.0,5230294.0,7362727.0,8905048.0,6604548.0,10010695.0,11930588.0,13369832.0,13219491.0,11705437.0,10523947.0,9487669.0,10451625.0,11684713.0,9195980.0,8585521.0,10456247.0,10262153.0,11191288.0,10367266.0,10249790.0
NATIONAL AUS.BANK,AU000000NAB4,12364352,12467006.0,13251180.0,13292489.0,12468834.0,17008477.0,22696146.0,26051876.0,29288276.0,39522590.0,33475249.0,32524128.0,38442457.0,42399245.0,49338444.0,42321174.0,35159322.0,30224785.0,27989132.0,25826096.0,24209764.0,22307611.0,19977401.0,14942815.0,18141084.0,33760287.0,38256442.0
NEWCREST MINING DEAD - DELIST.08/11/23,AU000000NCM7,164094,291113.0,384897.0,248452.0,301440.0,503460.0,606599.0,968822.0,1098795.0,1764089.0,1599015.0,2143021.0,3606442.0,4805627.0,4034144.0,3511860.0,3155143.0,3162071.0,3675918.0,3496080.0,3485150.0,3653356.0,4707865.0,3914710.0,4712834.0,4381923.0,4164091.0
ORIGIN ENERGY (EX BORAL),AU000000ORG5,3008442,3117950.0,1761905.0,1091318.0,1684602.0,2651141.0,3058252.0,4191069.0,4501457.0,6469096.0,5473524.0,7184040.0,8900778.0,13150356.0,14367543.0,12806043.0,11127060.0,8285543.0,9143915.0,11771980.0,10887789.0,9236531.0,9471436.0,8932779.0,11871916.0,10245818.0,10477390.0
ORICA,AU000000ORI1,2517525,2520389.0,2026719.0,2058739.0,2382826.0,3000435.0,3569645.0,3865259.0,3677580.0,4980830.0,4129647.0,6551680.0,5854047.0,6635064.0,6941036.0,6077562.0,5314325.0,3984743.0,3909312.0,4001441.0,3900067.0,3935653.0,4252786.0,3709810.0,5041763.0,5179493.0,4747008.0
OZ MINERALS DEAD - DELIST.03/05/23,AU000000OZL8,,,1056.0,114.0,253.0,65477.0,57155.0,285488.0,988217.0,988965.0,554818.0,537943.0,1136544.0,1197624.0,1025124.0,567395.0,649795.0,619847.0,631782.0,812406.0,810669.0,741199.0,1017097.0,1492928.0,1364666.0,1252158.0,1189911.0
PERPETUAL,AU000000PPT9,84950,129036.0,135295.0,132516.0,148522.0,220837.0,261342.0,309247.0,431745.0,593486.0,348354.0,400659.0,534977.0,510874.0,383096.0,370410.0,388985.0,352853.0,393044.0,424566.0,388154.0,343249.0,390991.0,529633.0,545213.0,832403.0,839405.0
QANTAS AIRWAYS,AU000000QAN2,5190699,5366153.0,5006290.0,5402210.0,6907000.0,8766263.0,9277284.0,9877758.0,11165952.0,13896618.0,10087253.0,11971779.0,14558317.0,16475240.0,16554654.0,13711761.0,12135768.0,11424251.0,12223364.0,13128239.0,12798704.0,12201996.0,5237825.0,4757025.0,11326988.0,13711287.0,14211659.0
QBE INSURANCE GROUP,AU000000QBE9,1154420,1395067.0,3171498.0,2393432.0,3509612.0,4856208.0,5731718.0,6131849.0,6907861.0,10333475.0,8153151.0,11503233.0,13093052.0,16571907.0,16611809.0,16333145.0,14449403.0,13842553.0,15165098.0,16652487.0,13631359.0,14069216.0,17257856.0,16459244.0,18722877.0,20431905.0,20449840.0
RAMSAY HEALTH CARE,AU000000RHC8,130265,158917.0,175573.0,231927.0,346554.0,525002.0,582426.0,1230962.0,1498100.0,1973730.0,1911391.0,2832289.0,3555221.0,4050946.0,4220289.0,3935599.0,4608337.0,5776429.0,6781279.0,7014892.0,7189032.0,8519849.0,8764910.0,9255684.0,9852270.0,10407032.0,10611323.0
ST BARBARA,AU000000SBM8,37725,23288.0,21264.0,28639.0,37372.0,28989.0,4114.0,75352.0,101518.0,119113.0,115522.0,272569.0,334540.0,467866.0,454744.0,492134.0,369342.0,441174.0,475877.0,520147.0,500224.0,459972.0,625416.0,505008.0,484673.0,75592.0,134080.0
SUNLAND GROUP DEAD - DELIST.30/10/23,AU000000SDG6,,,81291.0,73709.0,128664.0,202206.0,304815.0,242138.0,317962.0,689498.0,313438.0,240917.0,230577.0,240967.0,232117.0,130138.0,181452.0,192557.0,210158.0,395214.0,208232.0,89500.0,231534.0,227827.0,305030.0,101104.0,96078.0
SEEK,AU000000SEK6,,,,,,19412.0,30772.0,52480.0,99864.0,168395.0,138188.0,202738.0,312253.0,420881.0,529822.0,563166.0,611871.0,676377.0,746484.0,941441.0,1049878.0,1121105.0,1165266.0,321623.0,871033.0,779274.0,634045.0
SIMS,AU000000SGM7,888660,619351.0,598103.0,680985.0,869729.0,1271109.0,1806182.0,2032422.0,3824790.0,5096149.0,6633717.0,5701495.0,8072417.0,10174059.0,8195479.0,6493946.0,5425986.0,3771807.0,3558065.0,4511785.0,4946244.0,4034077.0,3532405.0,5512393.0,6285295.0,5454788.0,4186619.0
STOCKLAND STAPLED UNITS,AU000000SGP0,133893,142757.0,168136.0,381669.0,321463.0,769759.0,1094097.0,1122250.0,1321669.0,2079581.0,1214643.0,1779500.0,2329593.0,2315506.0,1921080.0,1640601.0,1602203.0,1536579.0,1867171.0,2312311.0,1861564.0,1928322.0,2142574.0,1885571.0,1996414.0,1689057.0,1900587.0
SONIC HEALTHCARE,AU000000SHL7,93190,109083.0,212270.0,384564.0,538697.0,748604.0,918118.0,1110328.0,1333774.0,1883169.0,1667869.0,2656717.0,2988053.0,3421327.0,3469719.0,3212547.0,3150692.0,3270049.0,3869818.0,4223463.0,4187319.0,4401214.0,6005188.0,6466946.0,6156814.0,5470929.0,5779990.0
SIGMA HEALTHCARE,AU000000SIG5,841073,997777.0,972455.0,847542.0,1011064.0,1446635.0,1622648.0,1634909.0,2091163.0,2673260.0,1944443.0,2847015.0,2935304.0,3062872.0,3060074.0,2655641.0,2497790.0,2491197.0,3411584.0,3345312.0,2957568.0,2238671.0,2659776.0,2536158.0,2672715.0,2227658.0,2116918.0
SANTOS,AU000000STO6,492220,601168.0,826150.0,743497.0,862325.0,1110402.0,1162061.0,1856820.0,2098474.0,2215385.0,1742831.0,1928109.0,2244080.0,2715286.0,3430946.0,3173537.0,3156707.0,2287952.0,2680083.0,3207842.0,3679696.0,4028299.0,3840669.0,4609389.0,8186326.0,5926647.0,5200102.0
SUNCORP GROUP,AU000000SUN6,1588487,1596327.0,1931418.0,2158113.0,2828338.0,3699571.0,5325240.0,5245208.0,5973277.0,11254449.0,10098675.0,13798222.0,14920915.0,19101447.0,15882817.0,12942605.0,12964628.0,11316409.0,12535839.0,13179853.0,10521283.0,10113650.0,11421505.0,10021951.0,12217914.0,9282971.0,7296322.0
SEVEN WEST MEDIA DEAD - DELIST.08/01/26,AU000000SWM4,195186,202478.0,182067.0,152811.0,178177.0,252321.0,277327.0,290199.0,324895.0,414195.0,289897.0,349965.0,415723.0,1640218.0,1979073.0,1634185.0,1417286.0,1220903.0,1326797.0,1254357.0,1167481.0,1022471.0,876236.0,1028473.0,1025766.0,944208.0,844508.0
SOUTHERN CROSS MEDIA GROUP,AU000000SXL4,,,,,,,,83872.0,136019.0,436314.0,268572.0,444088.0,368107.0,675941.0,669804.0,567603.0,482100.0,439199.0,515761.0,531025.0,477056.0,423478.0,371779.0,377401.0,368584.0,323882.0,255560.0
TABCORP HOLDINGS,AU000000TAH8,600051,678608.0,897154.0,933590.0,1129395.0,1549609.0,2544045.0,2823078.0,2960135.0,3487627.0,2567107.0,3781516.0,4327710.0,2429161.0,2064808.0,1773903.0,1649823.0,1533689.0,1699724.0,1945057.0,3778720.0,3759224.0,3925981.0,4095971.0,507132.0,1544663.0,1524311.0
TRANSURBAN GROUP STAPLED UNITS,AU000000TCL6,,,17653.0,180533.0,-60749.0,197516.0,215366.0,323032.0,247542.0,576715.0,457859.0,675789.0,759714.0,884004.0,1047403.0,1041184.0,1205852.0,1375872.0,1910165.0,2399658.0,2749163.0,2794059.0,2100132.0,1968915.0,2939205.0,2770550.0,2370778.0
TELSTRA GROUP,AU000000TLS2,10759872,11183834.0,10269072.0,9548262.0,12219772.0,14844520.0,16689572.0,16831107.0,17781891.0,22020476.0,15880975.0,22207287.0,25036397.0,27083100.0,26700854.0,21946042.0,19872320.0,19019743.0,19221415.0,20736154.0,18597494.0,16629773.0,17075415.0,15014049.0,15687128.0,14876873.0,14313255.0
WESTPAC BANKING,AU000000WBC1,6972581,6674911.0,6985662.0,7131400.0,7277618.0,11033529.0,12511760.0,14067138.0,16698518.0,23366792.0,20711023.0,31216621.0,39415429.0,44554302.0,43972065.0,34082488.0,30072777.0,27841679.0,28880491.0,29536752.0,27784111.0,24882725.0,23096147.0,18958291.0,18972331.0,30715290.0,35616187.0
WESFARMERS,AU000000WES1,1744793,1793512.0,1853330.0,2832162.0,4461072.0,6263658.0,5433979.0,6408167.0,7001102.0,13247968.0,31421185.0,44918482.0,53584960.0,60610980.0,61380556.0,53806525.0,48017606.0,45067572.0,51774059.0,55131776.0,19839988.0,19270503.0,25291774.0,24166229.0,29582457.0,28464952.0,27880648.0
WORLEY,AU000000WOR2,,,,,,279429.0,544869.0,1343270.0,2164747.0,3852803.0,3466478.0,4563986.0,5387907.0,6567773.0,8830709.0,8129348.0,7170034.0,5999635.0,4845584.0,3884952.0,3665720.0,7458256.0,8347248.0,6621440.0,7407337.0,7824032.0,7015694.0
WOOLWORTHS GROUP,AU000000WOW2,10774522,11752923.0,11047654.0,11529427.0,14957293.0,20641121.0,22444595.0,25868139.0,31589786.0,39990377.0,31020153.0,44806561.0,53175526.0,57982197.0,58412200.0,53154813.0,48133177.0,42583319.0,41772797.0,44569153.0,41820955.0,41383273.0,42832537.0,36858753.0,44137100.0,42868550.0,42879057.0
A2B AUSTRALIA DEAD - DELIST.12/04/24,AU0000032187,,282520.0,261113.0,280460.0,357163.0,493607.0,554924.0,100213.0,-168908.0,136347.0,103428.0,140904.0,167784.0,188555.0,195287.0,164338.0,152017.0,124113.0,122312.0,129346.0,142626.0,135194.0,88375.0,87182.0,98564.0,101893.0,96828.0
HEALIUS,AU0000033359,7855,23499.0,34727.0,48466.0,66670.0,105244.0,125201.0,169098.0,199230.0,258150.0,733185.0,1166656.0,1296197.0,1440052.0,1482608.0,1298416.0,1228551.0,1139159.0,1256425.0,1354989.0,1265355.0,1090239.0,1185426.0,1628772.0,1323104.0,1102874.0,966091.0
OVATO DEAD - DELIST.29/08/22,AU0000038911,721162,755704.0,816541.0,686628.0,775479.0,923632.0,1000170.0,955084.0,972497.0,1194083.0,856903.0,1129682.0,1197156.0,1234119.0,1070303.0,815707.0,676637.0,547030.0,708296.0,757300.0,506908.0,425488.0,339511.0,262373.0,261682.0,240108.0,228172.0
AMPOL,AU0000088338,1743944,1903156.0,2705831.0,2391713.0,3316538.0,5129932.0,7127516.0,11837565.0,14291102.0,17192553.0,14922193.0,15683278.0,18806663.0,23724092.0,24192264.0,21741095.0,18947437.0,14116284.0,13768234.0,16991554.0,15771649.0,14935848.0,11676385.0,15407903.0,27346970.0,24608542.0,21606232.0
WOODSIDE ENERGY GROUP,AU0000224040,641790,657457.0,1321763.0,1221575.0,1306905.0,1560840.0,1671312.0,1977911.0,2797552.0,3241793.0,3388101.0,3847377.0,4593304.0,4938151.0,6364754.0,5456044.0,6469427.0,4752443.0,4210231.0,4034839.0,5110419.0,4689418.0,3936904.0,6634394.0,17236691.0,13745029.0,12419744.0
CHINESE ESTATES HDG.,BMG2108M2182,478041,179987.0,83307.0,91608.0,93498.0,325574.0,674027.0,293287.0,610194.0,1083370.0,163113.0,276977.0,343034.0,68047.0,313702.0,814279.0,337996.0,200280.0,482661.0,193911.0,107510.0,69387.0,336794.0,-50094.0,182732.0,60260.0,43185.0
CKI HOLDINGS,BMG2178K1009,424672,393691.0,329153.0,296932.0,240001.0,207444.0,321414.0,289678.0,233380.0,239199.0,315284.0,281184.0,361398.0,450344.0,529165.0,646286.0,786776.0,713399.0,685751.0,769171.0,911060.0,866785.0,926551.0,904350.0,843499.0,765974.0,640743.0
