NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,country_code
CHINA VANKE 'A',CNE0000000T2,,,,,,,,,,,,,,,,2102.0,,,2019.5,4378.0,3860.2,2944.24,9472.4,25313.91,7807.32,14570.2,,CN
CHINA INTL.MAR.CTRS. (GP.) 'A',CNE000000644,,,,,,,,,,,,,,,,,,,,,150133.57,180957.98,206638.8,175038.31,192834.47,257110.77,,CN
INNER MONGOLIA YITAI COAL 'B',CNE000000SK7,,,,,,,,,,,,,,,,,,,7393700.0,12424600.0,15199600.0,14284200.0,14884400.0,12995600.0,13902100.0,14725500.0,,CN
ZTE 'A',CNE000000TK5,,,,,,,,,,,,,,,3014.09,,,,,1931.02,2102.6,18676.16,79182.39,43082.89,45218.37,43102.16,,CN
CHINA EASTERN AIRL. 'A',CNE000000TR0,,,,,,,,,,,,,,,,,,,,20884700.0,22622900.0,13842500.0,15735725.73,9823642.37,20124649.29,23816108.43,,CN
CHINA MOLYBDENUM 'H',CNE100000114,,,,,,,,,,,,,,,,,,,500000.0,470000.0,480000.0,530000.0,360000.0,760000.0,1070000.0,1340000.0,,CN
SHANDONG WEIGAO GP MEDICAL POLYMER 'H',CNE100000171,,,,,,,,,,,,,,,,,,,1841.0,828.0,1843.73,2478.28,2846.48,2978.68,2704.87,3096.38,,CN
CHINA CITIC BANK 'H',CNE1000001Q4,,,,,,,,,,,,,,,,,,,7350.59,7474.59,7118.49,5939.02,6668.93,7919.26,7706.45,6777.72,,CN
AIR CHINA 'H',CNE1000001S0,,,,,,,,,,,,,,,,17114100.0,19312400.0,20059000.0,21707000.0,23543000.0,23248000.0,14850000.0,15218000.0,9823000.0,22608000.0,27677000.0,,CN
ALUMINUM CORPORATION OF CHINA 'H',CNE1000001T8,,,,,,,,,,,,,,,,,,,,73314000.0,66996800.0,61012300.0,57206600.0,69200000.0,66773600.0,68701400.0,,CN
ANHUI EXPRESSWAY 'H',CNE1000001X0,,,,,,,,,,,,,,,,,,,,,1824.5,1448.5,1312.12,913.21,60059.12,67936.86,,CN
BANK OF CHINA 'H',CNE1000001Z5,,,,,,,,,,,,,,,,,2374.0,2371.0,2174.0,2081.0,88718.0,77214.0,79309.0,74899.0,84740.0,77288.0,,CN
BEJ.CAPI.ARPT.'H',CNE100000221,,,,,,,,,,,,,,,,,1413.05,1247.15,,,,,798.42,776.88,733.1,667.77,,CN
CHINA CON.BANK 'H',CNE1000002H1,,,,,,,,,,,,,,,,,3666.77,4100.19,18576.91,17518.07,115242.34,88906.1,127378.31,69497.11,63928.61,63760.24,,CN
COSCO SHIPPING HDG.'H',CNE1000002J7,,,,,,,,,,,,,,,,,,,,16185229.0,21628890.0,21147901.0,22284594.0,20849275.0,19906698.0,21964626.0,,CN
CHINA LIFE INSURANCE 'H',CNE1000002L3,,,,,,,,,,,,,,,,,,,1011.07,4692.91,22837.13,61770.86,56112.28,48385.05,49860.25,49125.96,,CN
CHINA NATIONAL BUILDING MATERIAL 'H',CNE1000002N9,,,,,,,,,,,,,,,,,,,,,255161300.0,257096124.0,250660000.0,216670000.0,192100000.0,157353306.0,,CN
CHINA PTL.& CHM. 'H',CNE1000002Q2,,,,,,,,,,,,,,,,,,,123050000.0,128570000.0,125680000.0,128580000.0,148380000.0,137720000.0,142280000.0,139090000.0,,CN
CHINA SHENHUA EN.CO.'H',CNE1000002R0,,,,,,,,,,,,,,,,,,,220590000.0,245770000.0,151510000.0,126880000.0,153330000.0,172390000.0,188790000.0,196560000.0,,CN
CHINA SOUTHERN AIRL.'H',CNE1000002T6,,,,,,,,,,,,,,,,18940000.0,21310000.0,23163100.0,25124200.0,26901400.0,28360300.0,19318000.0,19108600.0,14327500.0,25696200.0,29037100.0,,CN
CHINA TELECOM 'H',CNE1000002V2,,,,,,,,,,,,,,,,,,,290000.0,280000.0,210000.0,210000.0,280000.0,200000.0,170000.0,140000.0,,CN
DGI.PWG.'H',CNE1000002Z3,,,,,,,,,,,,,,,,,,,,377600000.0,198450000.0,232900000.0,200670000.0,191860000.0,196860000.0,210817900.0,,CN
DONGFANG ELECTRIC 'H',CNE100000304,,,,,,,,,,,,,,,,,,,,,265000.0,252000.0,60000.0,85000.0,81000.0,85000.0,,CN
HUADIAN POWER INTERNATIONAL 'H',CNE1000003D8,,,,,,,,,,,,,,,,,,,146960000.0,164309000.0,167858000.0,152623000.0,171966000.0,169967000.0,,,,CN
INDL&COML.BOC.'H',CNE1000003G1,,,,,,,,,,,,,,,,,,5026.0,,,,124200.0,129600.0,97400.0,100600.0,99600.0,,CN
JIANGXI COPPER 'H',CNE1000003K3,,,,,,,,,,,,,,,,,,,329430.5,350406.2,427239.0,282300.0,288100.0,272200.0,263100.0,247100.0,,CN
MAANSHAN IRON & STL.'H',CNE1000003R8,,,,,,,,,,,,,,,,,,,,,34386221.0,35445774.0,34833015.0,33291600.0,35801900.0,34118400.0,,CN
PETROCHINA 'H',CNE1000003W8,,,,,,,,,,,,,,,,,,,,,132170000.0,127570000.0,121390000.0,119680000.0,124660000.0,122760000.0,,CN
PING AN INSURANCE (GROUP) OF CHINA 'H',CNE1000003X6,,,,,,,,,,,,,,,,,,,3774.0,3774.0,7156.0,2114.51,6121.76,17964.0,35990.0,28158.0,,CN
SHANGHAI ELEC.GP.CO.'H',CNE100000437,,,,,,,,,,,,,,,,,,,,,123481.0,149943.0,137200.0,99639.35,80450.61,86106.17,,CN
TSINGTAO BREWERY 'H',CNE1000004K1,,,,,,,,,,,,,,,,,,,,,310871.0,264024.0,235455.0,188948.0,211748.0,190388.0,,CN
ZHEJIANG EXPRESSWAY 'H',CNE1000004S4,,,,,,,,,,,,,,,,,,2952.52,3041.03,3378.0,3888.0,4141.0,4984.0,12227.8,9549.8,11470.96,,CN
ZIJIN MINING GROUP 'H',CNE100000502,,,,,,,,,,,,,,,,,350158.72,397756.0,457811.0,735878.0,2020000.0,2540000.0,2810000.0,3140000.0,3650000.0,2890000.0,,CN
GUANGZHOU R&F PROPS.'H',CNE100000569,,,,,,,,,,,,,,,,,,880.7,11355.0,32981.0,111283.0,106252.0,124534.0,93181.0,106297.0,100316.0,,CN
PICC PROPERTY & CLTY.'H',CNE100000593,,,,,,,,,,,,,,,,,,,,137.8,177.3,195.25,197.86,156.38,169.44,182.33,,CN
HUANENG POWER INTERNATIONAL 'H',CNE1000006Z4,,,,,,,,,,,,,,,,,,251160300.0,335593000.0,348105100.0,336154200.0,333288800.0,,,377073000.0,,,CN
ICT.TUNGGAL PRAKARSA,ID1000061302,,,,,,,,,,,,,,,,14065215.12,13336942.08,,,12778534.0,12158300.0,10649536.0,11100000.0,10000000.0,11050000.0,11293218.0,,ID
BUKIT ASAM,ID1000094006,,,,,,,,,,,,137796.0,132254.0,133160.0,418960.0,225538.0,,,,344030.12,408407.61,386531.0,468216.0,710834.0,904688.24,959697.45,,ID
BANK MANDIRI,ID1000095003,,,,,,,,,,,,,,,,,,,,,75640.0,61105.0,64319.0,42698.0,43077.0,46741.0,,ID
UNILEVER INDONESIA,ID1000095706,,,,,,,,,,,,,,,,,,,,,20327.26,16518.22,20858.4,16516.7,14662.9,10960.41,,ID
ANEKA TAMBANG,ID1000106602,,,,,,,,,,,,,,,,1982471.0,144150.0,792092.0,1066040.0,1146142.04,1101671.68,1178810.1,1123670.99,1546945.0,1462198.81,1187923.99,,ID
SEMEN INDONESIA (PERSERO),ID1000106800,,,,,,,,,,,,,,,,18225022.0,17533333.0,21184977.0,20654528.0,21589455.0,27959111.0,25359445.0,24455835.0,42639714.0,49807991.0,48974371.0,,ID
INDO TAMBANGRAYA MEGAH,ID1000108509,,,,,,,,,,,,,,1298567.13,1176200.0,1175640.94,1720506.54,1930476.78,1915383.96,2380828.0,1952662.0,,,777437.0,916458.0,1028526.0,,ID
LIPPO KARAWACI,ID1000108905,,,,,,,,,,,,,,,,,,,,,4560.0,5000.0,2650.0,12270.0,18590.0,11330.0,,ID
PERUSAHAAN GAS NEGARA,ID1000111602,,,,,,,,,,,,,,,40710.0,52324.7,52560.58,46445.68,77514.8,68593.06,62766.36,63985.91,44581.83,640609.05,629179.28,623788.12,,ID
ASTRA INTERNATIONAL,ID1000122807,,,,,,,,,,,,,,,,,,,,,4518879.0,3932948.0,3875278.0,4387685.0,4604076.0,4642016.0,,ID
KALBE FARMA,ID1000125107,,,,,,,,,,,,,,,,,,,13879.84,12916.9,14629.27,14233.29,20895.94,24392.2,18484.77,19895.14,,ID
NIPPON BUILDING FUND,JP3027670003,,,,,,,,,,,,,,,,,13884.0,7371.0,8218.0,7701.0,13858.0,12902.0,11756.0,4819.0,4354.0,3897.0,,JP
JAPAN REAL ESTATE INV.,JP3027680002,,,,,,,,,,,,,,,6348.0,5895.0,6154.0,6767.0,6504.0,,3208.0,3208.0,3304.0,3011.0,2785.0,2659.0,2627.0,JP
JAPAN PRIME REALTY INV.,JP3040890000,,,,,,,,,,,,,,,,,,3973.0,3213.0,3228.0,1331.0,1293.0,1212.0,1233.0,1440.0,,,JP
AISIN,JP3102000001,,,,,,,,,,,,,,,,,,,,,790000.0,630904.0,577100.0,602011.0,533137.0,525133.0,498805.0,JP
ASAHI KASEI,JP3111200006,,,,,,,,,,,4904598.0,,,,,,,,2840000.0,3100000.0,3180000.0,2961401.0,2906814.0,3080947.0,2853917.0,2386214.0,,JP
AGC,JP3112000009,,,,,,,,,,,8020000.0,,9220000.0,5480000.0,5270000.0,5320000.0,4930000.0,5290000.0,5074000.0,5300000.0,6200000.0,6469000.0,6880000.0,5968000.0,5852000.0,5781404.0,,JP
ASAHI GROUP HOLDINGS,JP3116000005,,,,,,,,,,,241791.0,235300.0,258000.0,262000.0,,362581.0,360934.0,366914.0,360681.0,463000.0,492000.0,463000.0,494000.0,492000.0,476000.0,462681.0,,JP
ASICS,JP3118000003,,,,,,,,,,2344.0,2286.0,2231.0,5563.0,6116.0,6010.0,6236.0,5664.0,4835.0,4461.0,4002.0,3848.0,2873.0,3082.0,3034.0,3116.0,3262.0,,JP
AJINOMOTO,JP3119600009,,,,,,,,,,,1500000.0,1387000.0,1403000.0,1430000.0,1334000.0,1283000.0,1167816.0,1251654.0,1270429.0,1244676.0,1196969.0,1013315.0,1008811.0,1005363.0,973780.0,767084.0,675022.0,JP
