NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
MACQUARIE GROUP,AU000000MQG1,,,,,,,,,,,23.0,,0.0,0.0,0.0,,,,433.0,518.0,569.0,477.0,465.0,343.0,385.0,392.0,
METCASH,AU000000MTS0,,,,,,,,,,,8304.0,10406.0,12396.0,20087.0,,,,,,24741.0,12472.0,14110.0,15055.0,14576.0,13225.0,15446.0,34712.0
NATIONAL AUS.BANK,AU000000NAB4,,,,,,,,19424.0,19273.0,15337.0,16019.0,22084.0,25551.0,25460.0,20848.0,23481.0,23052.0,18373.0,19376.0,19208.0,19208.0,16579.0,10821.0,6619.0,7590.0,7313.0,
NEWCREST MINING DEAD - DELIST.08/11/23,AU000000NCM7,,,,,,,,,,,731331.0,1430611.0,1483302.0,1542738.0,,,,,1288105.0,1386235.0,1377787.0,1378676.0,1368391.0,1397980.0,1386578.0,,
ORIGIN ENERGY (EX BORAL),AU000000ORG5,,,,,,,,,6000000.0,5700000.0,1331747.0,1968703.0,2832948.0,12866000.0,13663000.0,14934000.0,16918000.0,16977000.0,17293000.0,18162000.0,17976000.0,16014000.0,14890000.0,12801000.0,13690000.0,15567000.0,15799000.0
ORICA,AU000000ORI1,,,,,,,4719000.0,4704000.0,4700000.0,3354000.0,2588260.0,2407520.0,2035000.0,1801000.0,1900000.0,1600000.0,1800000.0,1800000.0,1798800.0,2244000.0,2092000.0,1849000.0,1628000.0,1678000.0,1446000.0,923000.0,
OZ MINERALS DEAD - DELIST.03/05/23,AU000000OZL8,,,,,,,,,,576938.0,94610.0,114703.0,146422.0,156986.0,204959.0,231389.0,180290.0,142669.0,105648.0,85258.0,77271.0,85555.0,94720.0,95387.0,,,
PERPETUAL,AU000000PPT9,,,,,,,,,,,145.0,,,,,,,,,,,0.0,0.0,11.0,43.0,3.0,
QANTAS AIRWAYS,AU000000QAN2,,,,,,,,11200000.0,11519558.0,12627695.0,12063350.0,11749346.0,12387552.0,12534020.0,12422703.0,11938500.0,11707259.0,12070474.0,12248233.0,12390319.0,12372735.0,9340721.0,3236753.0,4734407.0,9720687.0,11456418.0,
QBE INSURANCE GROUP,AU000000QBE9,,,,,,,,,,520.0,1254.0,1170.0,1241.0,1160.0,10777.0,11144.0,12400.0,8686.0,7904.0,8314.0,6600.0,6565.0,6526.0,7179.0,7832.0,7746.0,
