ISIN,reason
SG1L01001701,no_carbon_data
SG1M31001969,no_carbon_data
SG1M51904654,no_carbon_data
SG1M77906915,no_carbon_data
SG1N31909426,no_carbon_data
SG1P66918738,no_carbon_data
SG1S04926220,no_carbon_data
SG1S76928401,no_carbon_data
SG1S83002349,no_carbon_data
SG1T58930911,no_carbon_data
SG1T75931496,no_carbon_data
SG2B80958517,no_carbon_data
SG9999003735,no_carbon_data
SGXE65760014,insufficient_history(0mo) | no_carbon_data
US89677Q1076,no_carbon_data
