ISIN,eligible_history_36m,eligible_not_stale_120m,eligible_carbon_scope1_or_scope2,included_final,cutoff_date
SG1T58930911,True,True,False,False,2013-12-31
SG1T75931496,True,True,False,False,2013-12-31
SG1U68934629,True,True,True,True,2013-12-31
SG1V61937297,True,True,True,True,2013-12-31
SG2B80958517,True,True,False,False,2013-12-31
SG9999000020,True,True,True,True,2013-12-31
SG9999003735,True,True,False,False,2013-12-31
SGXE21576413,True,True,True,True,2013-12-31
SGXE65760014,False,True,False,False,2013-12-31
US89677Q1076,True,True,False,False,2013-12-31
