ISIN,NAME,Country
JP3766550002,HAKUHODO DY HDG.,JP
JP3768600003,HASEKO,JP
JP3769000005,HACHIJUNI NAGANO BANK,JP
JP3771800004,HAMAMATSU PHOTONICS,JP
JP3774200004,HANKYU HANSHIN HDG.,JP
JP3778630008,BANDAI NAMCO HDG.,JP
JP3780100008,PARK24,JP
JP3783420007,HIKARI TSUSHIN,JP
JP3783600004,EAST JAPAN RAILWAY,JP
JP3786200000,HITACHI METALS DEAD - DELIST.29/12/22,JP
JP3787000003,HITACHI CON.MCH.,JP
JP3788600009,HITACHI,JP
JP3789000001,KANADEVIA,JP
JP3791200003,HITACHI TRANSPORT SYSTEM DEAD - DELIST.24/02/23,JP
JP3792600003,HINO MOTORS,JP
JP3796150005,HIROGIN HOLDINGS,JP
JP3799000009,HIROSE ELECTRIC,JP
JP3802300008,FAST RETAILING,JP
JP3802400006,FANUC,JP
JP3811000003,FUJIKURA,JP
JP3814000000,FUJIFILM HOLDINGS,JP
JP3814800003,SUBARU,JP
JP3818000006,FUJITSU,JP
JP3819400007,FUJI MEDIA HOLDINGS,JP
JP3820000002,FUJI ELECTRIC,JP
JP3826800009,FURUKAWA,JP
JP3827200001,FURUKAWA ELECTRIC,JP
JP3830000000,BROTHER INDUSTRIES,JP
JP3830800003,BRIDGESTONE,JP
JP3834800009,HEIWA REAL ESTATE,JP
JP3835620000,BENESSE HOLDINGS DEAD - DELIST.17/05/24,JP
JP3837800006,HOYA,JP
JP3841800000,HOKUETSU,JP
JP3842400008,HOKUHOKU FINL. GP.,JP
JP3845400005,HOKURIKU ELEC.POWER,JP
JP3850200001,HOKKAIDO ELEC.POWER,JP
JP3854600008,HONDA MOTOR,JP
JP3862400003,MAKITA,JP
JP3863800003,MATSUI SECURITIES,JP
JP3866800000,PANASONIC HOLDINGS,JP
JP3868400007,MAZDA MOTOR,JP
JP3869010003,MATSUKIYOKARA,JP
JP3870000001,MABUCHI MOTOR,JP
JP3870400003,MARUI GROUP,JP
JP3877600001,MARUBENI,JP
JP3885400006,MISUMI GROUP,JP
JP3885780001,MIZUHO FINL.GP.,JP
JP3888300005,MITSUI CHEMICALS,JP
JP3888400003,MITSUI KINZOKU LIMITED,JP
JP3890310000,MS&AD INSURANCE GP.HDG.,JP
JP3890350006,SUMITOMO MITSUI FINL.GP.,JP
JP3891600003,MITSUI E&S,JP
JP3892100003,SUMITOMO MITSUI TRUST GROUP,JP
JP3893200000,MITSUI FUDOSAN,JP
JP3893600001,MITSUI,JP
JP3894900004,ISETAN MITSUKOSHI HDG.,JP
JP3896800004,MITSUBISHI GAS CHM.,JP
JP3898400001,MITSUBISHI,JP
JP3899600005,MITSUBISHI ESTATE,JP
JP3899800001,MITSUBISHI MOTORS,JP
JP3900000005,MITSUBISHI HEAVY INDS.,JP
JP3901200000,MITSUBISHI PAPER MILLS,JP
JP3902000003,MITSUBISHI LOGISTICS,JP
JP3902400005,MITSUBISHI ELECTRIC,JP
JP3902900004,MITSUBISHI UFJ FINL.GP.,JP
JP3903000002,MITSUBISHI MATERIALS,JP
JP3906000009,MINEBEA MITSUMI,JP
JP3910660004,TOKIO MARINE HOLDINGS,JP
JP3914400001,MURATA MANUFACTURING,JP
JP3919800007,MEIDENSHA,JP
JP3931600005,YAKULT HONSHA,JP
JP3933800009,LY,JP
JP3935600001,YAMAZAKI BAKING,JP
JP3939000000,YAMADA HOLDINGS,JP
JP3940000007,YAMATO HDG.,JP
JP3940400009,YAMATO KOGYO,JP
JP3942400007,ASTELLAS PHARMA,JP
JP3942600002,YAMAHA,JP
JP3942800008,YAMAHA MOTOR,JP
JP3944130008,USS,JP
JP3951200009,UNITIKA,JP
JP3951600000,UNI CHARM,JP
JP3955000009,YOKOGAWA ELECTRIC,JP
JP3967200001,RAKUTEN GROUP,JP
JP3973400009,RICOH,JP
JP3977400005,RINNAI,JP
JP3982100004,LAWSON DEAD - DELIST.24/07/24,JP
JP3982800009,ROHM,JP
JP3992400006,WACOAL HDG.,JP
KYG0535Q1331,ASMPT,HK
KYG2108Y1052,CHINA RESOURCES LAND,HK
KYG210961051,CHINA MENGNIU DAIRY,HK
KYG217651051,CK HUTCHISON HOLDINGS,HK
KYG525621408,KINGBOARD HOLDINGS,HK
KYG5427W1309,LEE & MAN PAPER MNFG.,HK
KYG548561284,LIFESTYLE INTL.HDG. DEAD - DELIST.21/12/22,HK
KYG9431R1039,WANT WANT CHINA HOLDINGS,SG
MU0117U00026,GOLDEN AGRI-RESOURCES,SG
NZAIAE0002S6,AUCKLAND INTL.AIRPORT,NZ
NZAIRE0001S2,AIR NEW ZEALAND,NZ
NZCENE0001S6,CONTACT ENERGY,NZ
NZFBUE0001S0,FLETCHER BUILDING,NZ
NZSKCE0001S2,SKY CITY ENTM.GP.,NZ
NZTELE0001S4,SPARK NEW ZEALAND,NZ
SG0531000230,VENTURE CORPORATION,SG
SG1B51001017,JARDINE CYC.& CARR.,SG
SG1F60858221,SINGAPORE TECHS.ENGR.,SG
SG1J26887955,SINGAPORE EXCHANGE,SG
SG1L01001701,DBS GROUP HOLDINGS,SG
SG1M31001969,UNITED OVERSEAS BANK,SG
SG1M51904654,CAPITALAND INTEG. COML. TST.,SG
SG1M77906915,CAPITALAND ASCENDAS REIT,SG
SG1N31909426,COMFORTDELGRO CORPORATION,SG
SG1P66918738,SINGAPORE PRESS HDG. DEAD - DELIST.13/05/22,SG
SG1R50925390,SEMBCORP INDUSTRIES,SG
SG1R89002252,CITY DEVELOPMENTS,SG
SG1S04926220,OVERSEA-CHINESE BKG.,SG
SG1S76928401,COSCO SHIPPING INTERNATIONAL,SG
SG1S83002349,UOL GROUP,SG
SG1T58930911,FRASER AND NEAVE,SG
SG1T75931496,SINGAPORE TELECOM,SG
SG1U68934629,KEPPEL,SG
SG1V61937297,SINGAPORE AIRLINES,SG
SG2B80958517,OUE,SG
SG9999000020,FLEX,SG
SG9999003735,XP POWER (DI),SG
SGXE21576413,GENTING SINGAPORE,SG
SGXE34184239,SEATRIUM,SG
SGXE65760014,OLAM GROUP,SG
US89677Q1076,TRIP COM GROUP ADR 1:1,SG
